3619207260,#中国外交#【不可想象的中美之战】美国《洛杉矶时报》8月26日刊文称“正如核末日恐惧之于苏美战争，经济末日的幽灵也使中美战争不可想象”。文章说：“尽管紧迫事务充斥美中之间的议事日程，但必须寻机改善能化解危机和避免军事误算的程序和渠道，以防不可想象演化为不可避免。”
2631280395,宝宝wink做的越来越好了[酷]
3739731075,[委屈]最近太閒了吧
2534045647,#日行一善#八月初二 地藏王菩萨：九华山自唐代起便作为地藏王弘扬佛法化度众生之地，有真身不灭的肉身示现众生。地藏王菩萨发愿“地狱不空，誓不成佛”，诵持地藏灭定业真言：唵 钵啰末邻陀宁 娑婆诃，是摧伏、散灭、粉碎一切罪业、罪障、恶业之决。南无大愿地藏王菩萨！求诸所愿，悉得满愿。
2154058603,80就是一堆骨头，没手感。
2301411420,【视频 】20130905 #David Beckham#拍摄 @百年灵BREITLING  最新广告的幕后花絮，大伙流口水也是可以的！！！ http://t.cn/z8Jzi4H
2402588051,【微博控 护眼须知】①眼睛注意与屏幕保持30厘米到50厘米的距离；②连续用眼不要超过一小时，中间休息15到20分钟；③屏幕亮度不要太高，调至中等左右为佳；④尽量不要在过暗的地方、走路的时候看屏幕；⑤不要经常快速滑动屏幕，把阅读速度放慢些。
2721062943,开灯睡很难受啊
3302960927,澳大利亚悉尼塔隆加动物园，一只小熊猫初次与游客见面。小傢伙名叫彭巴(Pemba)，彭巴在尼泊尔语里是星期六的意思。彭巴是塔隆加动物园自1977开始的濒危动物保育计划中，诞生的第44只小熊猫。小熊猫的性格十分温顺文雅，一副小猫似的稚气脸谱，从来看不到愁容，非常惹人喜爱!好萌啊!!
2617946764,//t.cn/z8JzcaG
1653689003,“如果我不认识你，我没活过；如果我至死不认识你，我没死，因为我没活过。”（BY 塞尔努达）晚安，各位。
2631280395,#李俊昊##SAY YES#萌宝宝的表情秀[bm可爱]
2409860787,最先道歉的人最勇敢；最先原谅的人最坚强；最先释怀的人最幸福。
2156981682,哈哈，谢谢小粉丝，以后多多露面让小编看到你哦！大家都来转起哈！没加我关注的需要先加好友哈！[爱你][爱你][爱你]
2079341971,倒數6天，繼續高難度動作賣萌[嘻嘻]
2273988362,哇卡卡卡
3365387870,出售双排鞋。37码。100块。有意者请评论。谢谢【微信】
1288953145,这些论点都是根据我党最新理论推论的，我党已经堕落到反宪政了。有问题，你问我党吧。
2798004414,哪位大神有上学期模电的试卷，电气考的，跪求，好人一生平安【微信】
